ID,RET
418595,True
418596,True
418597,True
418598,True
418599,True
418600,True
418601,True
418602,True
418603,True
418604,True
418605,True
418606,True
418607,True
418608,True
418609,True
418610,True
418611,True
418612,True
418613,True
418614,True
418615,True
418616,True
418617,True
418618,True
418619,True
418620,True
418621,True
418622,True
418623,True
418624,True
418625,True
418626,True
418627,True
418628,True
418629,True
418630,True
418631,True
418632,True
418633,True
418634,True
418635,True
418636,True
418637,True
418638,True
418639,True
418640,True
418641,True
418642,True
418643,True
418644,True
418645,True
418646,True
418647,True
418648,True
418649,True
418650,True
418651,True
418652,True
418653,True
418654,True
418655,True
418656,True
418657,True
418658,True
418659,True
418660,True
418661,True
418662,True
418663,True
418664,True
418665,True
418666,True
418667,True
418668,True
418669,True
418670,True
418671,True
418672,True
418673,True
418674,True
418675,True
418676,True
418677,True
418678,True
418679,True
418680,True
418681,True
418682,True
418683,True
418684,True
418685,True
418686,True
418687,True
418688,True
418689,True
418690,True
418691,True
418692,True
418693,True
418694,True
418695,True
418696,True
418697,True
418698,True
418699,True
418700,True
418701,True
418702,True
418703,True
418704,True
418705,True
418706,True
418707,True
418708,True
418709,True
418710,True
418711,True
418712,True
418713,True
418714,True
418715,True
418716,True
418717,True
418718,True
418719,True
418720,True
418721,True
418722,True
418723,True
418724,True
418725,True
418726,True
418727,True
418728,True
418729,True
418730,True
418731,True
418732,True
418733,True
418734,True
418735,True
418736,True
418737,True
418738,True
418739,True
418740,True
418741,True
418742,True
418743,True
418744,True
418745,True
418746,True
418747,True
418748,True
418749,True
418750,True
418751,True
418752,True
418753,True
418754,True
418755,True
418756,True
418757,True
418758,True
418759,True
418760,True
418761,True
418762,True
418763,True
418764,True
418765,True
418766,True
418767,True
418768,True
418769,True
418770,True
418771,True
418772,True
418773,True
418774,True
418775,True
418776,True
418777,True
418778,True
418779,True
418780,True
418781,True
418782,True
418783,True
418784,True
418785,True
418786,True
418787,True
418788,True
418789,True
418790,True
418791,True
418792,True
418793,True
418794,True
418795,True
418796,True
418797,True
418798,True
418799,True
418800,True
418801,True
418802,True
418803,True
418804,True
418805,True
418806,True
418807,True
418808,True
418809,True
418810,True
418811,True
418812,True
418813,True
418814,True
418815,True
418816,True
418817,True
418818,True
418819,True
418820,True
418821,True
418822,True
418823,True
418824,True
418825,True
418826,True
418827,True
418828,True
418829,True
418830,True
418831,True
418832,True
418833,True
418834,True
418835,True
418836,True
418837,True
418838,True
418839,True
418840,True
418841,True
418842,True
418843,True
418844,True
418845,True
418846,True
418847,True
418848,True
418849,True
418850,True
418851,True
418852,True
418853,True
418854,True
418855,True
418856,True
418857,True
418858,True
418859,True
418860,True
418861,True
418862,True
418863,True
418864,True
418865,True
418866,True
418867,True
418868,True
418869,True
418870,True
418871,True
418872,True
418873,True
418874,True
418875,True
418876,True
418877,True
418878,True
418879,True
418880,True
418881,True
418882,True
418883,True
418884,True
418885,True
418886,True
418887,True
418888,True
418889,True
418890,True
418891,True
418892,True
418893,True
418894,True
418895,True
418896,True
418897,True
418898,True
418899,True
418900,True
418901,True
418902,True
418903,True
418904,True
418905,True
418906,True
418907,True
418908,True
418909,True
418910,True
418911,True
418912,True
418913,True
418914,True
418915,True
418916,True
418917,True
418918,True
418919,True
418920,True
418921,True
418922,True
418923,True
418924,True
418925,True
418926,True
418927,True
418928,True
418929,True
418930,True
418931,True
418932,True
418933,True
418934,True
418935,True
418936,True
418937,True
418938,True
418939,True
418940,True
418941,True
418942,True
418943,True
418944,True
418945,True
418946,True
418947,True
418948,True
418949,True
418950,True
418951,True
418952,True
418953,True
418954,True
418955,True
418956,True
418957,True
418958,True
418959,True
