ID,RET
418595,True
418596,True
418597,True
418598,False
418599,True
418600,False
418601,True
418602,False
418603,False
418604,True
418605,True
418606,True
418607,False
418608,False
418609,True
418610,True
418611,True
418612,True
418613,False
418614,True
418615,False
418616,False
418617,False
418618,False
418619,False
418620,True
418621,False
418622,True
418623,True
418624,True
418625,False
418626,False
418627,True
418628,True
418629,False
418630,False
418631,True
418632,True
418633,True
418634,False
418635,True
418636,False
418637,False
418638,True
418639,False
418640,False
418641,True
418642,True
418643,True
418644,True
418645,True
418646,True
418647,True
418648,True
418649,True
418650,True
418651,True
418652,True
418653,False
418654,True
418655,False
418656,True
418657,True
418658,True
418659,True
418660,True
418661,True
418662,True
418663,True
418664,True
418665,True
418666,True
418667,True
418668,True
418669,True
418670,True
418671,False
418672,False
418673,True
418674,True
418675,True
418676,True
418677,True
418678,True
418679,True
418680,True
418681,True
418682,True
418683,True
418684,True
418685,True
418686,True
418687,False
418688,False
418689,False
418690,False
418691,False
418692,False
418693,True
418694,False
418695,True
418696,True
418697,True
418698,True
418699,True
418700,False
418701,False
418702,True
418703,False
418704,False
418705,False
418706,True
418707,True
418708,False
418709,True
418710,False
418711,False
418712,False
418713,True
418714,True
418715,True
418716,True
418717,True
418718,True
418719,False
418720,True
418721,True
418722,True
418723,True
418724,False
418725,True
418726,True
418727,True
418728,False
418729,False
418730,True
418731,False
418732,True
418733,True
418734,True
418735,False
418736,True
418737,True
418738,True
418739,True
418740,False
418741,True
418742,True
418743,True
418744,True
418745,False
418746,True
418747,True
418748,True
418749,True
418750,False
418751,False
418752,True
418753,False
418754,True
418755,False
418756,True
418757,False
418758,False
418759,True
418760,False
418761,False
418762,True
418763,True
418764,False
418765,False
418766,True
418767,False
418768,False
418769,True
418770,True
418771,True
418772,False
418773,False
418774,True
418775,True
418776,False
418777,True
418778,False
418779,True
418780,False
418781,False
418782,True
418783,False
418784,False
418785,True
418786,False
418787,True
418788,True
418789,True
418790,True
418791,True
418792,True
418793,True
418794,True
418795,False
418796,True
418797,False
418798,True
418799,True
418800,True
418801,True
418802,True
418803,True
418804,False
418805,False
418806,False
418807,False
418808,True
418809,False
418810,True
418811,False
418812,False
418813,False
418814,False
418815,True
418816,True
418817,False
418818,False
418819,True
418820,False
418821,True
418822,False
418823,True
418824,False
418825,False
418826,True
418827,False
418828,False
418829,True
418830,False
418831,True
418832,True
418833,True
418834,True
418835,True
418836,True
418837,True
418838,True
418839,True
418840,True
418841,True
418842,True
418843,False
418844,True
418845,True
418846,False
418847,False
418848,True
418849,True
418850,True
418851,True
418852,True
418853,True
418854,True
418855,True
418856,True
418857,True
418858,False
418859,True
418860,False
418861,False
418862,True
418863,False
418864,True
418865,True
418866,False
418867,False
418868,False
418869,True
418870,False
418871,False
418872,False
418873,True
418874,True
418875,False
418876,False
418877,True
418878,True
418879,False
418880,True
418881,True
418882,False
418883,True
418884,False
418885,True
418886,False
418887,False
418888,False
418889,False
418890,False
418891,True
418892,False
418893,False
418894,True
418895,True
418896,False
418897,False
418898,False
418899,False
418900,True
418901,True
418902,False
418903,False
418904,False
418905,False
418906,False
418907,True
418908,True
418909,False
418910,True
418911,False
418912,False
418913,True
418914,True
418915,True
418916,True
418917,True
418918,True
418919,False
418920,True
418921,True
418922,True
418923,False
418924,False
418925,False
418926,True
418927,False
418928,True
418929,True
418930,True
418931,True
418932,False
418933,True
418934,False
418935,True
418936,False
418937,True
418938,False
418939,True
418940,False
418941,True
418942,False
418943,False
418944,False
418945,True
418946,False
418947,True
418948,True
418949,True
418950,True
418951,True
418952,False
418953,True
418954,True
418955,False
418956,True
418957,False
418958,True
418959,False
